Timestamp,Calitate aer,Temperatura,Umiditate,Geam Deschis,Locatie,Numar persoane,Ventilatie activa,Tip Incinta,Vreme,Trafic,Data,Timpul
2025-05-01 15:11:12+00:00,70.0,25.3,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:11:12
2025-05-01 15:34:05+00:00,54.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:05
2025-05-01 15:34:07+00:00,54.0,26.6,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:07
2025-05-01 15:34:09+00:00,56.0,26.6,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:09
2025-05-01 15:34:11+00:00,55.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:11
2025-05-01 15:34:13+00:00,56.0,26.3,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:13
2025-05-01 15:34:15+00:00,56.0,26.1,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:15
2025-05-01 15:34:17+00:00,55.0,26.4,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:17
2025-05-01 15:34:19+00:00,57.0,26.0,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:19
2025-05-01 15:34:21+00:00,56.0,26.2,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:21
2025-05-01 15:34:23+00:00,54.0,26.9,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:23
2025-05-01 15:34:25+00:00,57.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:25
2025-05-01 15:34:27+00:00,54.0,26.1,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:27
2025-05-01 15:34:29+00:00,54.0,26.0,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:29
2025-05-01 15:34:31+00:00,57.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:31
2025-05-01 15:34:33+00:00,55.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:33
2025-05-01 15:34:35+00:00,57.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:35
2025-05-01 15:34:37+00:00,56.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:37
2025-05-01 15:34:40+00:00,57.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:40
2025-05-01 15:34:42+00:00,58.0,26.9,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:42
2025-05-01 15:34:44+00:00,57.0,26.9,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:44
2025-05-01 15:34:46+00:00,57.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:46
2025-05-01 15:34:48+00:00,57.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:48
2025-05-01 15:34:50+00:00,55.0,26.4,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:50
2025-05-01 15:34:52+00:00,56.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:52
2025-05-01 15:34:54+00:00,56.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:54
2025-05-01 15:34:56+00:00,57.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:56
2025-05-01 15:34:58+00:00,58.0,26.4,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:34:58
2025-05-01 15:35:00+00:00,57.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:00
2025-05-01 15:35:02+00:00,58.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:02
2025-05-01 15:35:04+00:00,55.0,26.9,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:04
2025-05-01 15:35:06+00:00,56.0,26.9,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:06
2025-05-01 15:35:08+00:00,58.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:08
2025-05-01 15:35:10+00:00,53.0,26.9,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:10
2025-05-01 15:35:12+00:00,56.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:12
2025-05-01 15:35:14+00:00,56.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:14
2025-05-01 15:35:16+00:00,57.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:16
2025-05-01 15:35:18+00:00,55.0,26.4,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:18
2025-05-01 15:35:20+00:00,57.0,26.5,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:20
2025-05-01 15:35:22+00:00,56.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:22
2025-05-01 15:35:24+00:00,56.0,26.4,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:24
2025-05-01 15:35:26+00:00,57.0,26.6,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:26
2025-05-01 15:35:28+00:00,57.0,26.2,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:28
2025-05-01 15:35:30+00:00,55.0,26.1,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:30
2025-05-01 15:35:32+00:00,57.0,26.8,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:32
2025-05-01 15:35:34+00:00,57.0,26.2,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:34
2025-05-01 15:35:36+00:00,55.0,26.6,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:36
2025-05-01 15:35:38+00:00,56.0,26.0,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:38
2025-05-01 15:35:40+00:00,57.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:40
2025-05-01 15:35:42+00:00,55.0,26.4,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:42
2025-05-01 15:35:44+00:00,57.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:44
2025-05-01 15:35:46+00:00,57.0,26.2,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:46
2025-05-01 15:35:48+00:00,54.0,26.4,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:48
2025-05-01 15:35:51+00:00,58.0,26.0,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:51
2025-05-01 15:35:53+00:00,54.0,26.2,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:53
2025-05-01 15:35:55+00:00,54.0,26.0,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:55
2025-05-01 15:35:57+00:00,58.0,26.1,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:57
2025-05-01 15:35:59+00:00,56.0,26.0,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:35:59
2025-05-01 15:36:01+00:00,55.0,26.7,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:36:01
2025-05-01 15:36:03+00:00,55.0,26.3,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:36:03
2025-05-01 15:36:05+00:00,57.0,26.6,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:36:05
2025-05-01 15:36:07+00:00,54.0,26.2,45.0,Nu,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:36:07
